Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Búsqueda de proveedores,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,
Directorio de proveedores,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,
Clasificación,Gerencia de Riesgos,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,
Requisitos,Contraloría F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,
Criterios para Desarrollo de Proveedores,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Requisitos
Reglas de negocio,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Requisitos/Criterios para Desarrollo de Proveedores
Proyección de compra,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Requisitos/Criterios para Desarrollo de Proveedores/Negociación
Negociación,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Reglas de negocio/Volumen de compra
Volumen de compra,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Negociación
Criterios de viabilidad,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Negociación/Volumen de compra
Cotización,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Negociación/Volumen de compra/Criterios de viabilidad
Orden de compra,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Negociación/Volumen de compra/Criterios de viabilidad/cotización
Contrato,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,"Cotización, Orden de compra"
Logística de entrega,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Contrato
Entrega,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Logística de entrega
Criterios de evaluación,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Entrega
Aplicación de Evaluación,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Criterios de evaluación
Resultados,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Aplicación de Evaluación
Cierre administrativo,Contraloría F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Resultados
Política de entregas de productos/bienes y servicios a usuarios,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,Cierre administrativo
Eficiencias Locutores ,Coordinación de Compras F1,Dura 10 días,13/04/2023,4/22/23,10/27/24,563,
Situación Mariatinto Vino,Coordinación de Compras F1,Dura 11 días,13/04/2023,4/23/23,10/27/24,563,
Muestra de playera para Marketing Textiles,Coordinación de Compras F1,Dura 13 días,13/04/2023,4/25/23,10/27/24,563,
Show room impresos ,Coordinación de Compras F1,Dura 14 días,13/04/2023,4/26/23,10/27/24,563,
Carros de Golf / Motos Carros de Golf,Coordinación de Compras F1,Dura 172 días,13/04/2023,10/1/23,10/27/24,563,
Muestra de suéter para Marketing Textiles,Coordinación de Compras F1,Dura 23 días,13/04/2023,5/5/23,10/27/24,563,
Cajas para marketing Cajas,Coordinación de Compras F1,Dura 13 días,13/04/2023,4/25/23,10/27/24,563,
Definición de Proveedor Ambientación Diseño de Look & Feel,Coordinación Experiencia al Cliente,Dura 13 días,13/04/2023,4/25/23,10/27/24,563,
Contrato Dosai Fibra Óptica,Dirección Operaciones F1,Dura 13 días,13/04/2023,4/25/23,10/27/24,563,
Plus Muebles,Dirección Operaciones F1,Dura 5 días,13/04/2023,4/17/23,10/27/24,563,
Uniformes de PR Textiles,Coordinación de Compras F1,Dura 16 días,15/04/2023,4/30/23,10/27/24,561,
Muestras de Lanyard Textiles,Coordinación de Compras F1,Dura 13 días,17/04/2023,4/29/23,10/27/24,559,
Brief audio y video de Promotoría Audio y video ,Coordinación de Compras F1,Dura 16 días,17/04/2023,5/2/23,10/27/24,559,
Banderines de Promotoría Textiles,Coordinación de Compras F1,Dura 16 días,17/04/2023,5/2/23,10/27/24,559,
Muestras nuevas de gorras Textiles,Coordinación de Compras F1,Dura 16 días,17/04/2023,5/2/23,10/27/24,559,
Muestras de bolsas ecológicas Promocionales,Coordinación Experiencia al Cliente,Dura 7 días,17/04/2023,4/23/23,10/27/24,559,
Recorrido de pista,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Aprobación de la fecha por parte del inmueble
Ceremonia de apertura,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Uniformes (Política)
Protocolo show previo a la carrera,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Validación por el cliente
Protocolo carreras de soporte,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Uniformes (Política),Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Planeación,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Propuesta conceptual,Gerencia Producción F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Ubicación
Validación por el cliente,Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Ubicación/Definición de criterios a evaluar
Programación,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Ubicación,"Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia Producción F1",Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Definición de criterios a evaluar,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Selección de proveedores,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Ubicación
"Evaluación de resultados de encuestas, estudios e informes",Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Pre registro,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Convocatoria,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Pre registro
Selección,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Capacitación/Operación
Asignación,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Experiencia al Cliente Corporativo
Capacitación,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Experiencia al Cliente Corporativo/ Capacitación
Operación,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Asignación de staff
Experiencia al Cliente Corporativo,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Branding,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Acreditación
Experiencia culinaria,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Planeación
Activaciones por zona,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Amenities
Extensión de horarios,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Activaciones por zona
Acreditación Marca,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Acreditación Entretenimiento,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Selección/Acreditación
Experiencia Culinaria,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Asignación de staff,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Experiencia culinaria/Activaciones por zona/Extensión de horarios
Planeación,Gerencia Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
"Facilidades (espacios Media Center, traslados)",Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Asignación de staff
Experiencia culinaria,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Acreditación
Asignación de staff,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Planeación (Media Kit),Coordinación Media Center F1 ,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Selección/ Planeación
Actividades con Medios,Coordinación Experiencia al Cliente,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Planeación de amenidades y actividades (Kermesse),Coordinación Media Center F1 ,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,Registro de personal
Ednovi Pirotecnia,Coordinación de Compras F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Arcos acceso general  Display,Coordinación de Compras F1,Dura 7 días,18/04/2023,4/24/23,10/27/24,558,
Estructuras MK impresos,Coordinación de Compras F1,Dura 21 días,18/04/2023,5/8/23,10/27/24,558,
"Brief PADDOCK CLUB, RP Agencias btl",Coordinación Experiencia al Cliente,Dura 31 días,18/04/2023,5/18/23,10/27/24,558,
William Scotman oficinas  Oficinas móviles,Dirección Operaciones F1,Dura 12 días,18/04/2023,4/29/23,10/27/24,558,
PSH Oficinas móviles,Dirección Operaciones F1,Dura 9 días,18/04/2023,4/26/23,10/27/24,558,
Tiempo de construcción,Equipo de Proyecto ,Dura 9 días,22/04/2023,4/30/23,10/27/24,554,Evaluación y Validación OMDAI
Avance de la obra,Equipo de Proyecto ,Dura 9 días,22/04/2023,4/30/23,10/27/24,554,N/A
Datos de registro,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,
Formulario,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Datos de registro
Listado de personal acreditado,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Formulario
Permisos,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Listado de personal acreditado
Coordinación de Vuelos,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos/Coordinación proveedor traslado aéreo/Vuelos Comerciales
Coordinación proveedor traslado aéreo,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,
Vuelos Comerciales,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos
Coordinación traslados Médicos,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos
Transmisión aérea Track TV,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos
Objetos Prohibidos,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos
Accesos a Estacionamiento,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos
Revisión en accesos,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Permisos
Etiqueta de trato al personal,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,Listado de personal acreditado
Escaleras de servicio Construcción,Coordinación de Compras F1,Dura 9 días,22/04/2023,4/30/23,10/27/24,554,
Puente temporal Total show Construcción,Coordinación de Compras F1,Dura 5 días,22/04/2023,4/26/23,10/27/24,554,
"Display GNP, PHOTO OPP,  Display",Coordinación de Compras F1,Dura 5 días,22/04/2023,4/26/23,10/27/24,554,
Cotizar mecánica de suelo Construcción,Coordinación de Compras F1,Dura 11 días,22/04/2023,5/2/23,10/27/24,554,
Amevi Ambulancias,Coordinación de Compras F1,Dura 6 días,22/04/2023,4/27/23,10/27/24,554,
"Bajas de agua pit building,  Construcción",Coordinación de Compras F1,Dura 7 días,22/04/2023,4/28/23,10/27/24,554,
Módulos de información Display,Coordinación de Compras F1,Dura 3 días,22/04/2023,4/24/23,10/27/24,554,
Video voluntarios  Audio y video ,Coordinación de Compras F1,Dura 16 días,22/04/2023,5/7/23,10/27/24,554,
Módulos de información Display,Coordinación de Compras F1,Dura 3 días,22/04/2023,4/24/23,10/27/24,554,
Enviar pull telehanders ontrack Maquinaria,Dirección Operaciones F1,Dura 5 días,22/04/2023,4/26/23,10/27/24,554,
Cotización piso BackStage Piso,Dirección Operaciones F1,Dura 6 días,22/04/2023,4/27/23,10/27/24,554,
Contrato y alta Macrane Maquinaria,Dirección Operaciones F1,Dura 6 días,22/04/2023,4/27/23,10/27/24,554,
Sanirent  Oficinas móviles,Dirección Operaciones F1,Dura 4 días,22/04/2023,4/25/23,10/27/24,554,
Definición de seguridad Hospitalidades Seguridad,Gerencia de Seguridad Corporativa,Dura 10 días,22/04/2023,5/1/23,10/27/24,554,
Aprobación de propuesta LANDYARD CASHLESS,Dirección Comercial F1,Dura 1 días,25/04/2023,4/25/23,10/27/24,551,
Aprobación de propuesta LANDYARD GRADA 3,Dirección Comercial F1,Dura 1 días,25/04/2023,4/25/23,10/27/24,551,
Presentación Aluminio  PPT,Dirección Operaciones F1,Dura 5 días,26/04/2023,4/30/23,10/27/24,550,
Envío de activaciones a MKT,Dirección Comercial F1,Dura 1 días,13/05/2023,5/13/23,10/27/24,533,
Fecha límite para mandar legales finales,Dirección Comercial F1,Dura 1 días,20/05/2023,5/20/23,10/27/24,526,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Aprobación de propuesta general,Dirección Comercial F1,Dura 15 días,23/05/2023,6/6/23,10/27/24,523,Cierre de la campaña de pre carga
Contar con la estructura de practicas profesionales y voluntarios que se mandarían a las universidades,Coordinación Experiencia al Cliente,Dura 5 días,27/05/2023,5/31/23,10/27/24,519,"Levantamiento de necesidades. (Roles, cantidad, etc.)"
Correcciones de Renders,Dirección Comercial F1,Dura 1 días,31/05/2023,5/31/23,10/27/24,515,
Entrega de boletos TICKETFAST,Dirección Comercial F1,Dura 45 días,01/06/2023,7/15/23,10/27/24,514,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Envío a FOM propuesta general,Dirección Comercial F1,Dura 18 días,04/06/2023,6/21/23,10/27/24,511,Presentación de opciones
Página Web México GP Lista,Coordinación Experiencia al Cliente,Dura 1 días,07/06/2023,6/7/23,10/27/24,508,Inicio de programación y pruebas plataforma
Fecha límite para aprobar renders de tokens para su producción,Dirección Comercial F1,Dura 1 días,10/06/2023,6/10/23,10/27/24,505,Fecha límite para mandar legales finales
Correcciones FOM,Dirección Comercial F1,Dura 1 días,10/06/2023,6/10/23,10/27/24,505,
Envío a FOM propuesta general,Dirección Comercial F1,Dura 1 días,10/06/2023,6/10/23,10/27/24,505,
Correcciones FOM,Dirección Comercial F1,Dura 12 días,10/06/2023,6/21/23,10/27/24,505,
Envío a fom propuesta activación grada 3,Dirección Comercial F1,Dura 1 días,10/06/2023,6/10/23,10/27/24,505,
Contar con todos los convenios con Universidades ya firmados,Coordinación Experiencia al Cliente,Dura 5 días,18/06/2023,6/22/23,10/27/24,497,Planeación programa de voluntarios
Entrega de primera versión del manual de citibanamex cashless,Dirección Comercial F1,Dura 1 días,20/06/2023,6/20/23,10/27/24,495,Fecha límite para mandar legales finales
Spot,Dirección Comercial F1,Dura 1 días,24/06/2023,6/24/23,10/27/24,491,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Página de programa digital,Dirección Comercial F1,Dura 1 días,24/06/2023,6/24/23,10/27/24,491,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Entrega de boletos SUITE,Dirección Comercial F1,Dura 46 días,01/07/2023,8/15/23,10/27/24,484,"Entrega de propuesta de renders. (Módulos cashless, bonificación, tótems, playeras, pallets, tokens.) Seguimiento de cambios"
Teaser 1 Convocatorio redes sociales,Coordinación Experiencia al Cliente,Dura 1 días,11/07/2023,7/11/23,10/27/24,474,Página Web México GP Lista
Contratos agencias,Dirección Comercial F1,Dura 1 días,12/07/2023,7/12/23,10/27/24,473,
Tener definido la logística de convocatoria oficial ,Coordinación Experiencia al Cliente,Dura 1 días,13/07/2023,7/13/23,10/27/24,472,
Entrega de anexo nota metodológica,Agencia INK PR,Dura 2 días,15/07/2023,7/16/23,10/27/24,470,
Pre-registro oficial,Coordinación Experiencia al Cliente,Dura 33 días,15/07/2023,8/16/23,10/27/24,470,Teaser 1 Convocatorio redes sociales
Respuesta revisión de bases,IWO,Dura 2 días,29/07/2023,7/30/23,10/27/24,456,Entrega de anexo nota metodológica
Entrega de bases para revisión del primer semestre,Agencia INK PR,Dura 2 días,31/07/2023,8/1/23,10/27/24,454,Respuesta revisión de bases
Fecha límite para aprobar diseño de playeras,Dirección Comercial F1,Dura 1 días,05/08/2023,8/5/23,10/27/24,449,
Fecha límite para aprobar manual de recarga citibanamex cashless,Dirección Comercial F1,Dura 1 días,05/08/2023,8/5/23,10/27/24,449,Entrega de primera versión del manual de citibanamex cashless
"Fecha límite para aprobar backs, faldones, copetes y pallets",Dirección Comercial F1,Dura 1 días,05/08/2023,8/5/23,10/27/24,449,Entrega de primera versión del manual de citibanamex cashless/Fecha límite para aprobar manual de recarga citibanamex cashless
Fecha límite para aprobar bonificación y mandar a producir pallets,Dirección Comercial F1,Dura 1 días,05/08/2023,8/5/23,10/27/24,449,Fecha límite para aprobar manual de recarga citibanamex cashless
Fecha límite para aprobar manual de pre carga,Dirección Comercial F1,Dura 1 días,05/08/2023,8/5/23,10/27/24,449,Cierre de la campaña cashless
Fecha límite para aprobar artes de la pre carga,Dirección Comercial F1,Dura 1 días,05/08/2023,8/5/23,10/27/24,449,
Entrevistas presenciales,Coordinación Experiencia al Cliente,Dura 1 días,07/08/2023,8/7/23,10/27/24,447,
Sesiones con Universidades,Coordinación Experiencia al Cliente,Dura 4 días,12/08/2023,8/15/23,10/27/24,442,Teaser 1 Convocatorio redes sociales
Aprobación y rechazo de videos,Coordinación Experiencia al Cliente,Dura 12 días,14/08/2023,8/25/23,10/27/24,440,Sesiones con Universidades
Contenido de redes sociales,Dirección Comercial F1,Dura 1 días,15/08/2023,8/15/23,10/27/24,439,
Entrega de materiales para campaña precarga,Dirección Comercial F1,Dura 1 días,16/08/2023,8/16/23,10/27/24,438,
Filtrado pre-registro,Coordinación Experiencia al Cliente,Dura 3 días,17/08/2023,8/19/23,10/27/24,437,Pre-registro oficial
Convocatorio universidades,Coordinación Experiencia al Cliente,Dura 1 días,19/08/2023,8/19/23,10/27/24,435,Filtrado pre-registro
Convocatorio Abierta para medios de comunicación,Coordinación Experiencia al Cliente,Dura 1 días,20/08/2023,8/20/23,10/27/24,434,Aprobación y rechazo de videos
Convocatoria público,Coordinación Experiencia al Cliente,Dura 1 días,20/08/2023,8/20/23,10/27/24,434,Convocatorio universidades
Entrevistas virtuales,Coordinación Experiencia al Cliente,Dura 26 días,26/08/2023,9/20/23,10/27/24,428,Convocatorio Abierta para medios de comunicación
Entrega de materiales para campaña,Dirección Comercial F1,Dura 1 días,29/08/2023,8/29/23,10/27/24,425,
Aprobación totems señalización,Dirección Comercial F1,Dura 1 días,29/08/2023,8/29/23,10/27/24,425,
Aprobación de lonas en grada,Dirección Comercial F1,Dura 1 días,29/08/2023,8/29/23,10/27/24,425,
Listo Manual de Voluntarios,Coordinación Experiencia al Cliente,Dura 1 días,13/09/2023,9/13/23,10/27/24,410,Entrevistas virtuales
Inicio de la campaña de pre carga,Dirección Comercial F1,Dura 39 días,16/09/2023,10/24/23,10/27/24,407,Entrevistas presenciales
Estimación inicio de producción,Dirección Comercial F1,Dura 5 días,16/09/2023,9/20/23,10/27/24,407,Ajustes generales
Casting-ceremonia,Coordinación Experiencia al Cliente,Dura 1 días,21/09/2023,9/21/23,10/27/24,402,Entrevistas presenciales
Asignación de voluntarios- Mailing de confirmación,Coordinación Experiencia al Cliente,Dura 5 días,23/09/2023,9/27/23,10/27/24,400,Casting-ceremonia
Inicio de la campaña de cashless,Dirección Comercial F1,Dura 35 días,23/09/2023,10/27/23,10/27/24,400,Fecha límite para aprobar bonificación y mandar a producir pallets/Entrega de materiales para campaña
Contar con agencia y estructura de capacitación de voluntarios,Coordinación Experiencia al Cliente,Dura 1 días,27/09/2023,9/27/23,10/27/24,396,Listo Manual de Voluntarios
1era entrega de evidencias,Dirección Comercial F1,Dura 1 días,01/10/2023,10/1/23,10/27/24,392,
"Fecha límite de confirmación voluntarios. (Foto, talla, confirmación de fechas, etc.)",Coordinación Experiencia al Cliente,Dura 1 días,03/10/2023,10/3/23,10/27/24,390,Contar con agencia y estructura de capacitación de voluntarios
Montaje,Dirección Comercial F1,Dura 15 días,07/10/2023,10/21/23,10/27/24,386,Elección de propuesta por parte de CITIBANAMEX
Coca cola entrega de hieleras,Dirección de Operaciones F1,Dura 2 días,11/10/2023,10/12/23,10/27/24,382,
"Coca cola entrega de split, g1, g1a y g2",Dirección de Operaciones F1,Dura 2 días,11/10/2023,10/12/23,10/27/24,382,
Heineken entrega de hieleras,Dirección de Operaciones F1,Dura 2 días,11/10/2023,10/12/23,10/27/24,382,
"Heineken entrega de split, g1, g1a y g2",Dirección de Operaciones F1,Dura 2 días,11/10/2023,10/12/23,10/27/24,382,
Capacitaciones Voluntarios / Entrega acreditaciones montaje.,Coordinación Experiencia al Cliente,Dura 8 días,12/10/2023,10/19/23,10/27/24,381,Asignación de voluntarios- Mailing de confirmación
Volumen de compra,Coordinación Experiencia al Cliente,Dura 1 días,16/10/2023,10/16/23,10/27/24,377,Capacitaciones Voluntarios / Entrega acreditaciones montaje.
Coca-Cola entrega de refrigeradores en los puntos de bebidas,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Heineken entrega de refrigeradores en los puntos de bebidas,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Recepción de refrigeradores de hielo,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Coca cola entrega de split,Dirección de Operaciones F1,Dura 3 días,17/10/2023,10/19/23,10/27/24,376,
Heineken entrega de split,Dirección de Operaciones F1,Dura 3 días,17/10/2023,10/19/23,10/27/24,376,
Recepción de refrigeradores de hielo,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Coca-Cola entrega de refrigeradores en los puntos de bebidas,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Heineken entrega de refrigeradores en los puntos de bebidas,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Heineken entrega de refrigeradores en los puntos de bebidas,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Entrega de producto de Sabritas,Dirección de Operaciones F1,Dura 2 días,17/10/2023,10/18/23,10/27/24,376,
Entrega de Sabritas,Dirección de Operaciones F1,Dura 2 días,17/10/2023,10/18/23,10/27/24,376,
Coca-Cola entrega de refrigeradores,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Heineken entrega de refrigeradores,Dirección de Operaciones F1,Dura 5 días,17/10/2023,10/21/23,10/27/24,376,
Coca cola entrega de Split,Dirección de Operaciones F1,Dura 1 días,18/10/2023,10/18/23,10/27/24,375,
Coca cola entrega de hieleras,Dirección de Operaciones F1,Dura 3 días,18/10/2023,10/20/23,10/27/24,375,
Heineken entrega de hieleras,Dirección de Operaciones F1,Dura 3 días,18/10/2023,10/20/23,10/27/24,375,
Coca cola entrega de Split y vasos,Dirección de Operaciones F1,Dura 4 días,19/10/2023,10/22/23,10/27/24,374,
Heineken entrega de Split y vasos,Dirección de Operaciones F1,Dura 4 días,19/10/2023,10/22/23,10/27/24,374,
Encuesta de satisfacción capacitación,Coordinación Experiencia al Cliente,Dura 1 días,21/10/2023,10/21/23,10/27/24,372,Volumen de compra
Entrega de activación,Dirección Comercial F1,Dura 1 días,22/10/2023,10/22/23,10/27/24,371,Aprobación de propuesta general
Entrega de Kit de Voluntarios / PLW,Coordinación Experiencia al Cliente,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,Encuesta de satisfacción capacitación
Cierre de la campaña de pre carga,Dirección Comercial F1,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,
Coca cola entrega de Split,Dirección de Operaciones F1,Dura 2 días,24/10/2023,10/25/23,10/27/24,369,
Coca cola conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 2 días,24/10/2023,10/25/23,10/27/24,369,
Heineken entrega de Split,Dirección de Operaciones F1,Dura 2 días,24/10/2023,10/25/23,10/27/24,369,
Heineken conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 2 días,24/10/2023,10/25/23,10/27/24,369,
Entrega de destilados,Dirección de Operaciones F1,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,
Entrega de destilados,Dirección de Operaciones F1,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,
Entrada de camiones,Dirección de Operaciones F1,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,
Coca cola conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 3 días,24/10/2023,10/26/23,10/27/24,369,
Heineken conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 3 días,24/10/2023,10/26/23,10/27/24,369,
Coca cola entrega de Split y vasos,Dirección de Operaciones F1,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,
Heineken entrega de Split y vasos,Dirección de Operaciones F1,Dura 1 días,24/10/2023,10/24/23,10/27/24,369,
Heineken conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 2 días,24/10/2023,10/25/23,10/27/24,369,
Operación,Dirección Comercial F1,Dura 3 días,25/10/2023,10/27/23,10/27/24,368,Envío a FOM propuesta general
Coca cola conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 2 días,26/10/2023,10/27/23,10/27/24,367,
Heineken conexión de refrigeradores y colocación de producto,Dirección de Operaciones F1,Dura 2 días,26/10/2023,10/27/23,10/27/24,367,
Comité de Sustentabilidad,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,
Política de Sustentabilidad,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Comité de Sustentabilidad
Objetivos de Sustentabilidad,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Comité de Sustentabilidad/Política de Sustentabilidad
Líneas Estratégicas,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Objetivos de Sustentabilidad
Acciones para eficiente el uso de Agua,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Líneas Estratégicas
Acciones para eficiente el uso de Energía,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Líneas Estratégicas
Acciones para Reciclaje,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Líneas Estratégicas
Acciones para Disminución de Insumos,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Líneas Estratégicas
Acciones para la Cultura Sustentable,Coordinación Sostenibilidad F1,Dura 365 días,27/10/2023,10/25/24,10/27/24,366,Líneas Estratégicas
