Actividad,Responsables,Duración,Inicio,Fin,Evento,Días al evento,Stopper
         Contrato Agencias entretenimiento,Analista de Proyectos Entretenimiento F1,Dura 15 días,24/06/2024,12/07/2024,27/10/2024,107,Contrato Agencias entretenimiento
"            Solicitud de infraestructura (gas, agua, suministro eléctrico)","Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,08/07/2024,12/07/2024,27/10/2024,107,"Solicitud de infraestructura (gas, agua, suministro eléctrico)"
            Autorización y solicitud de recubrimientos a proveedores,"Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,08/07/2024,12/07/2024,27/10/2024,107,Autorización y solicitud de recubrimientos a proveedores
         Coordinación FLY ACROSS,Gerencia de Seguridad Corporativa,Dura 20 días,17/06/2024,12/07/2024,27/10/2024,107,Coordinación FLY ACROSS
            Aplicación Master Graphic. Propuesta para muros/divisiones y pisos. Entrega física,"Dirección de Operaciones F1,Gerente Producción F1",Dura 4 días,08/07/2024,11/07/2024,27/10/2024,108,Aplicación Master Graphic. Propuesta para muros/divisiones y pisos. Entrega física
            Recorrido interno,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,09/07/2024,09/07/2024,27/10/2024,110,Recorrido interno
"            Solicitud de carpas, octanorm y pisos a proveedores","Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,"Solicitud de carpas, octanorm y pisos a proveedores"
            Autorización y solicitud de mobiliario a proveedores,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Autorización y solicitud de mobiliario a proveedores
            Nussli grada SLS Estructuras,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Nussli grada SLS Estructuras
            Presentacion Aluminio PPT,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Presentacion Aluminio PPT
            Enviar pull telehanders ontrack Maquinaria,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Enviar pull telehanders ontrack Maquinaria
            Cotizacion piso BackStage Piso,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Cotizacion piso BackStage Piso
            Proveedores de Renders,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Proveedores de Renders
            Definicion de Proveedor Ambientacion Diseño de Look & Feel,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,08/07/2024,08/07/2024,27/10/2024,111,Definicion de Proveedor Ambientacion Diseño de Look & Feel
"            Entrega de renders y layouts Agencias, Live Events y MKP","Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,05/07/2024,05/07/2024,27/10/2024,114,"Entrega de renders y layouts Agencias, Live Events y MKP"
            Entrega de gráficos para intervención de hospitalidades,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,05/07/2024,05/07/2024,27/10/2024,114,Entrega de gráficos para intervención de hospitalidades
            Contrato y alta Macrane Maquinaria,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,05/07/2024,05/07/2024,27/10/2024,114,Contrato y alta Macrane Maquinaria
            Sanirent Oficinas moviles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,05/07/2024,05/07/2024,27/10/2024,114,Sanirent Oficinas moviles
"            Sembrado de mobiliario (Aforo de acuerdo al brief de cada hospitalidad) Propuesta de iluminación, materiales y showroom físico","Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,28/06/2024,04/07/2024,27/10/2024,115,"Sembrado de mobiliario (Aforo de acuerdo al brief de cada hospitalidad) Propuesta de iluminación, materiales y showroom físico"
"            Fecha límite para aprobar backs, faldones, copetes y pallets",Analista de Proyectos Entretenimiento F1,Dura 1 día,27/06/2024,27/06/2024,27/10/2024,122,"Fecha límite para aprobar backs, faldones, copetes y pallets"
            Fecha límite para aprobar bonificación y mandar a producir pallets,Analista de Proyectos Entretenimiento F1,Dura 1 día,27/06/2024,27/06/2024,27/10/2024,122,Fecha límite para aprobar bonificación y mandar a producir pallets
"            Definición de espacio de bodegas y cocina debajo de las Gradas PP eses, TSB A y Sports Lounge Azul","Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,25/06/2024,27/06/2024,27/10/2024,122,"Definición de espacio de bodegas y cocina debajo de las Gradas PP eses, TSB A y Sports Lounge Azul"
         Publicación de contenidos,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 11 días,13/06/2024,27/06/2024,27/10/2024,122,
            Entrega de bases finales para impresión - digitalización,Gerencia de Redes Sociales F1,Dura 1 día,27/06/2024,27/06/2024,27/10/2024,122,Entrega de bases finales para impresión - digitalización
            Fecha límite para aprobar manual de recarga citibanamex cashless,Analista de Proyectos Entretenimiento F1,Dura 85 días,29/02/2024,26/06/2024,27/10/2024,123,Fecha límite para aprobar manual de recarga citibanamex cashless
            Entrega de bases para revisión del primer semestre,Gerencia de Redes Sociales F1,Dura 1 día,26/06/2024,26/06/2024,27/10/2024,123,Entrega de bases para revisión del primer semestre
            Respuesta revisión de bases,Dirección de Mercadotecnia F1,Dura 3 días,21/06/2024,25/06/2024,27/10/2024,124,Respuesta revisión de bases
         Logística de entrega,Coordinación de Compras F1,Dura 1 día,25/06/2024,25/06/2024,27/10/2024,124,Logística de entrega
         Criterios de evaluación,Coordinación de Compras F1,Dura 1 día,25/06/2024,25/06/2024,27/10/2024,124,Criterios de evaluación
            Autorización de personalización suite,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,20/06/2024,24/06/2024,27/10/2024,125,Autorización de personalización suite
            Aplicación de Moodboard a materiales y mobiliario,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,20/06/2024,24/06/2024,27/10/2024,125,Aplicación de Moodboard a materiales y mobiliario
      12.4 Requisición,Coordinación de Compras F1,Dura 264 días,21/06/2023,24/06/2024,27/10/2024,125,
         Contrato,Coordinación de Compras F1,Dura 10 días,11/06/2024,24/06/2024,27/10/2024,125,Contrato
         Correcciones FOM,Analista de Proyectos Entretenimiento F1,Dura 14 días,04/06/2024,21/06/2024,27/10/2024,128,Correcciones FOM
         Consignas de Seguridad,Gerencia de Seguridad Corporativa,Dura 15 días,03/06/2024,21/06/2024,27/10/2024,128,Consignas de Seguridad
            Entrega de anexo nota metodológica,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 5 días,14/06/2024,20/06/2024,27/10/2024,129,Entrega de anexo nota metodológica
            Autorización de placas para clientes,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,Autorización de placas para clientes
"            Brief para Agencias que realizarán un all In a Terrza A, Speed Lounge Amarillo y Speed Lounge 8A","Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,"Brief para Agencias que realizarán un all In a Terrza A, Speed Lounge Amarillo y Speed Lounge 8A"
            Tower Estructuras,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,Tower Estructuras
            Plus Muebles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,Plus Muebles
            William Scotman oficinas Oficinas moviles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,William Scotman oficinas Oficinas moviles
            PSH Oficinas moviles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,PSH Oficinas moviles
            Entrega de últimos detalles de mood board,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,Entrega de últimos detalles de mood board
"            Sombra para MGS, CMB, PPB","Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,"Sombra para MGS, CMB, PPB"
            Brief Hospitalidades Live Events y MKP,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/2024,27/10/2024,130,Brief Hospitalidades Live Events y MKP
         Scouting voluntarios hosp,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,17/06/2024,17/06/2024,27/10/2024,132,Scouting voluntarios hosp
            Entrega de bases para revisión del primer semestre,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 30 días,07/05/2024,17/06/2024,27/10/2024,132,Entrega de bases para revisión del primer semestre
         Selección de proveedores,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 20 días,21/05/2024,17/06/2024,27/10/2024,132,Selección de proveedores
         Filtrado pre-registro,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,14/06/2024,14/06/2024,27/10/2024,135,Filtrado pre-registro
         Entrevistas presenciales,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,14/06/2024,14/06/2024,27/10/2024,135,Entrevistas presenciales
            Autorización de pruebas de color,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,12/06/2024,14/06/2024,27/10/2024,135,Autorización de pruebas de color
         Permisos,Gerencia de Seguridad Corporativa,Dura 20 días,20/05/2024,14/06/2024,27/10/2024,135,Permisos
         Adhesión a imagen del cliente,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia Sr. Comercial F1,Creativo F1,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día,13/06/2024,13/06/2024,27/10/2024,136,Adhesión a imagen del cliente
         Pre registro,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Coordinación Experiencia al Cliente",Dura 1 día,13/06/2024,13/06/2024,27/10/2024,136,Pre registro
            Revisión y entrega de template para reporte de cobertura de medios,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 día,13/06/2024,13/06/2024,27/10/2024,136,Revisión y entrega de template para reporte de cobertura de medios
         Definición de espacios y tamaño de montaje,"Creativo F1,Gerente Producción F1,Gerente de Experiencia al Cliente Corporativos F1",Dura 150 días,16/11/2023,12/06/2024,27/10/2024,137,Definición de espacios y tamaño de montaje
         Teaser 1 Convocatorio redes sociales,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,12/06/2024,12/06/2024,27/10/2024,137,Teaser 1 Convocatorio redes sociales
         Elaboración de contenidos,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 día,12/06/2024,12/06/2024,27/10/2024,137,
            Recepción de gráficas,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 día,12/06/2024,12/06/2024,27/10/2024,137,Recepción de gráficas
         Convocatoria,"Coordinación Experiencia al Cliente,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 5 días,05/06/2024,11/06/2024,27/10/2024,138,Convocatoria
            Entrega de altas a proveedor para pruebas de color,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,07/06/2024,11/06/2024,27/10/2024,138,Entrega de altas a proveedor para pruebas de color
      9.1 Acreditación de Escoltas,Gerencia de Seguridad Corporativa,Dura 17 días,20/05/2024,11/06/2024,27/10/2024,138,
         Listado de personal acreditado,Gerencia de Seguridad Corporativa,Dura 1 día,11/06/2024,11/06/2024,27/10/2024,138,Listado de personal acreditado
         Definición de pautado Marketing Digital,Gerencia de Redes Sociales F1,Dura 40 días,17/04/2024,11/06/2024,27/10/2024,138,Definición de pautado Marketing Digital
         Formulario,Gerencia de Seguridad Corporativa,Dura 1 día,10/06/2024,10/06/2024,27/10/2024,139,Formulario
         Orden de compra,Coordinación de Compras F1,Dura 20 días,14/05/2024,10/06/2024,27/10/2024,139,Orden de compra
         Datos de registro,Gerencia de Seguridad Corporativa,Dura 15 días,20/05/2024,07/06/2024,27/10/2024,142,Datos de registro
            Entrega de altas de logos,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,04/06/2024,06/06/2024,27/10/2024,143,Entrega de altas de logos
            Uniformes de PR Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,06/06/2024,06/06/2024,27/10/2024,143,Uniformes de PR Textiles
         4.8 Experiencia al Cliente Premium,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 22 días?,07/05/2024,05/06/2024,27/10/2024,144,
            Amenities (físicas),Gerencia Hospitalidades y Experiencias Premium F1,Dura 22 días?,07/05/2024,05/06/2024,27/10/2024,144,
               Aprobación de requerimientos de uniforme (äreas) ,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día?,05/06/2024,05/06/2024,27/10/2024,144,Aprobación de requerimientos de uniforme (äreas)
         Convocatorio universidades,"Coordinación Media Centre F1,Gerente Producción F1,Creativo F1",Dura 1 día,04/06/2024,04/06/2024,27/10/2024,145,Convocatorio universidades
               Levantamiento de requerimientos de uniformes ,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,22/05/2024,04/06/2024,27/10/2024,145,Levantamiento de requerimientos de uniformes
            Acreditación de montaje,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,04/06/2024,04/06/2024,27/10/2024,145,Acreditación de montaje
         Envío a FOM,Analista de Proyectos Entretenimiento F1,Dura 1 día,03/06/2024,03/06/2024,27/10/2024,146,Envío a FOM
         Pre-registro oficial,"Coordinación Media Centre F1,Gerente Producción F1",Dura 5 días,28/05/2024,03/06/2024,27/10/2024,146,Pre-registro oficial
            Scouting en autódromo Hermanos Rodriguez,"Dirección de Operaciones F1,Gerente Producción F1",Dura 10 días,21/05/2024,03/06/2024,27/10/2024,146,Scouting en autódromo Hermanos Rodriguez
            Autorización de logos,"Dirección de Operaciones F1,Gerente Producción F1",Dura 20 días,07/05/2024,03/06/2024,27/10/2024,146,Autorización de logos
         Correcciones Renders,Analista de Proyectos Entretenimiento F1,Dura 14 días,14/05/2024,31/05/2024,27/10/2024,149,Correcciones Renders
         Normas de Seguridad,Gerencia de Seguridad Corporativa,Dura 10 días,20/05/2024,31/05/2024,27/10/2024,149,Normas de Seguridad
            Planeación (Media Kit),Coordinación Media Centre F1,Dura 60 días,07/03/2024,29/05/2024,27/10/2024,151,Planeación (Media Kit)
            Muestras de Lanyard Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,28/05/2024,28/05/2024,27/10/2024,152,Muestras de Lanyard Textiles
"         Sesiones con Universidades, (Contar con todos los convenios con Universidades firmados).","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 10 días,14/05/2024,27/05/2024,27/10/2024,153,"Sesiones con Universidades, (Contar con todos los convenios con Universidades firmados)."
               Lanyard hospitalidades,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/2024,27/10/2024,153,
                  Aprobación Lanyard hospitalidades,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/2024,27/10/2024,153,Aprobación Lanyard hospitalidades
               Lanyard Grada,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/2024,27/10/2024,153,
                  Aprobación Lanyard Grada,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/2024,27/10/2024,153,Aprobación Lanyard Grada
               Playera,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/2024,27/10/2024,153,
                  Aprobación Playera Campaña,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/2024,27/10/2024,153,Aprobación Playera Campaña
               Gorra,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/2024,27/10/2024,153,
                  Aprobación Gorra Campaña,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/2024,27/10/2024,153,Aprobación Gorra Campaña
         Planeación Media Kit,Gerencia de Relaciones Públicas F1,Dura 15 días,07/05/2024,27/05/2024,27/10/2024,153,Planeación Media Kit
         Monitoreo de Publicaciones de Redes Sociales,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 12 días,07/05/2024,22/05/2024,27/10/2024,158,
            Entrega de capítulo eventos especiales Parte 1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 1 día,22/05/2024,22/05/2024,27/10/2024,158,Entrega de capítulo eventos especiales Parte 1
   11.Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 12 días,07/05/2024,22/05/2024,27/10/2024,158,
      11.3 Evaluación de acciones de Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 1 día,22/05/2024,22/05/2024,27/10/2024,158,
         Acciones para el Cambio,Coordinación de Compras F1,Dura 1 día,22/05/2024,22/05/2024,27/10/2024,158,Acciones para el Cambio
               Selección de Uniformes ,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,08/05/2024,21/05/2024,27/10/2024,159,Selección de Uniformes
            Entrega de bases finales monitoreo,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 10 días,08/05/2024,21/05/2024,27/10/2024,159,Entrega de bases finales monitoreo
      11.2 Gobierno Corporativo,Coordinador de Sostenibilidad F1,Dura 11 días,07/05/2024,21/05/2024,27/10/2024,159,
         Objetivos estratégicos de FOM,Coordinador de Sostenibilidad F1,Dura 5 días,15/05/2024,21/05/2024,27/10/2024,159,Objetivos estratégicos de FOM
         Pre-Producción,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 296 días,03/04/2023,20/05/2024,27/10/2024,160,
            Aprobación de lonas en grada,"Dirección de Operaciones F1,Gerente Producción F1",Dura 10 días,07/05/2024,20/05/2024,27/10/2024,160,Aprobación de lonas en grada
         Reuniones y Reglamento de Seguridad,Gerencia de Seguridad Corporativa,Dura 0 días,20/05/2024,20/05/2024,27/10/2024,160,
         Definición de aspectos a evaluar,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 10 días,07/05/2024,20/05/2024,27/10/2024,160,Definición de aspectos a evaluar
         Orden del día,Coordinador de Sostenibilidad F1,Dura 1 día,14/05/2024,14/05/2024,27/10/2024,166,Orden del día
         Programación (Envío a Mkt),Analista de Proyectos Entretenimiento F1,Dura 17 días,19/04/2024,13/05/2024,27/10/2024,167,Programación (Envío a Mkt)
         Planeación programa de voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,Planeación programa de voluntarios
            Aprobación totems señalización,"Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,Aprobación totems señalización
      11.1 Estrategia de Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,
         Política de Sustentabilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,Política de Sustentabilidad
         Objetivos de Sustentabilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,Objetivos de Sustentabilidad
         Líneas Estratégicas,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,Líneas Estratégicas
         Estrategia de Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/2024,27/10/2024,167,Estrategia de Sostenibilidad
         Requisición,Coordinación de Compras F1,Dura 234 días,21/06/2023,13/05/2024,27/10/2024,167,Requisición
                  Selección de Lanyard hospitalidades,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día,08/05/2024,08/05/2024,27/10/2024,172,Selección de Lanyard hospitalidades
                  Selección Lanyard Grada,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día,08/05/2024,08/05/2024,27/10/2024,172,Selección Lanyard Grada
                  Selección Playera Campaña ,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día,08/05/2024,08/05/2024,27/10/2024,172,Selección Playera Campaña
                  Selección Gorra Campaña ,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día,08/05/2024,08/05/2024,27/10/2024,172,Selección Gorra Campaña
         Página Web México GP Lista,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 día,07/05/2024,07/05/2024,27/10/2024,173,Página Web México GP Lista
               Give away hospitalidades,Gerencia Hospitalidades y Experiencias Premium F1,Dura 1 día,07/05/2024,07/05/2024,27/10/2024,173,Give away hospitalidades
            Entrega de Master Graphic,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,07/05/2024,07/05/2024,27/10/2024,173,Entrega de Master Graphic
            Revisión y pruebas de Look& Feel,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 día,07/05/2024,07/05/2024,27/10/2024,173,Revisión y pruebas de Look& Feel
            Revisión de bases finales monitoreo,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 1 día,07/05/2024,07/05/2024,27/10/2024,173,Revisión de bases finales monitoreo
            Entrega de reporte fotográfico para revisión completa,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 día,07/05/2024,07/05/2024,27/10/2024,173,Entrega de reporte fotográfico para revisión completa
      4.2 Activaciones,Gerencia de Administración e Información Comercial,Dura 71 días,29/01/2024,06/05/2024,27/10/2024,174,
         Ubicación,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 10 días,23/04/2024,06/05/2024,27/10/2024,174,Ubicación
         Programación,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 15 días,02/04/2024,22/04/2024,27/10/2024,188,Programación
         Validación Dirección General,Analista de Proyectos Entretenimiento F1,Dura 7 días,10/04/2024,18/04/2024,27/10/2024,192,Validación Dirección General
         Reunión Kick Off,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 día,16/04/2024,16/04/2024,27/10/2024,194,Reunión Kick Off
      10.1 Planeación de campañas de difusión y promoción,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 día,15/04/2024,15/04/2024,27/10/2024,195,
         Planeación de objetivos de campaña y Briefs,Gerencia Mercadotecnia Digital F1,Dura 1 día,15/04/2024,15/04/2024,27/10/2024,195,
         Presentación aprobación Subdirección,Analista de Proyectos Entretenimiento F1,Dura 7 días,01/04/2024,09/04/2024,27/10/2024,201,Presentación aprobación Subdirección
         Validación por el cliente,"Analista de Proyectos Entretenimiento F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 15 días,12/03/2024,01/04/2024,27/10/2024,209,Validación por el cliente
         Presentación entretenimiento,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 4 días,26/03/2024,29/03/2024,27/10/2024,212,Presentación entretenimiento
