Actividad,Responsable,Duración,Inicio ,Fin,Evento,Días al Evento,Stoper
Revisión y pruebas de Look& Feel,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,07/05/2024,7/05/24,27/10/24,173,Revisión y pruebas de Look& Feel
Selección de Lanyard hospitalidades,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 días,08/05/2024,8/05/24,27/10/24,172,Selección de Lanyard hospitalidades
Selección Gorra Campaña,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 días,08/05/2024,8/05/24,27/10/24,172,Selección Gorra Campaña
Selección Lanyard Grada,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 días,08/05/2024,8/05/24,27/10/24,172,Selección Lanyard Grada
Selección Playera Campaña,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 días,08/05/2024,8/05/24,27/10/24,172,Selección Playera Campaña
Estrategia de Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/24,27/10/24,167,
Aprobación totems señalización,"Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,07/05/2024,13/05/24,27/10/24,167,Aprobación totems señalización
Estrategia de Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/24,27/10/24,167,Estrategia de Sostenibilidad
Líneas Estratégicas,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/24,27/10/24,167,Líneas Estratégicas
Objetivos de Sustentabilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/24,27/10/24,167,Objetivos de Sustentabilidad
Planeación programa de voluntarios,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 5 días,07/05/2024,13/05/24,27/10/24,167,Planeación programa de voluntarios
Política de Sustentabilidad,Coordinador de Sostenibilidad F1,Dura 5 días,07/05/2024,13/05/24,27/10/24,167,Política de Sustentabilidad
Programación (Envío a Mkt),Analista de Proyectos Entretenimiento F1,Dura 17 días,19/04/2024,13/05/24,27/10/24,167,Programación (Envío a Mkt)
Requisición,Coordinación de Compras F1,Dura 234 días,21/06/2023,13/05/24,27/10/24,167,Requisición
Orden del día,Coordinador de Sostenibilidad F1,Dura 1 días,14/05/2024,14/05/24,27/10/24,166,Orden del día
Aprobación de lonas en grada,"Dirección de Operaciones F1,Gerente Producción F1",Dura 10 días,07/05/2024,20/05/24,27/10/24,160,Aprobación de lonas en grada
Definición de aspectos a evaluar,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 10 días,07/05/2024,20/05/24,27/10/24,160,Definición de aspectos a evaluar
Pre-Producción,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 296 días,03/04/2023,20/05/24,27/10/24,160,
Reuniones y Reglamento de Seguridad,Gerencia de Seguridad Corporativa,Dura 0 días,20/05/2024,20/05/24,27/10/24,160,
Gobierno Corporativo,Coordinador de Sostenibilidad F1,Dura 11 días,07/05/2024,21/05/24,27/10/24,159,
Entrega de bases finales monitoreo,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 10 días,08/05/2024,21/05/24,27/10/24,159,Entrega de bases finales monitoreo
Objetivos estratégicos de FOM,Coordinador de Sostenibilidad F1,Dura 5 días,15/05/2024,21/05/24,27/10/24,159,Objetivos estratégicos de FOM
Selección de Uniformes,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,08/05/2024,21/05/24,27/10/24,159,Selección de Uniformes
Evaluación de acciones de Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 1 días,22/05/2024,22/05/24,27/10/24,158,
Sostenibilidad,Coordinador de Sostenibilidad F1,Dura 12 días,07/05/2024,22/05/24,27/10/24,158,
Acciones para el Cambio,Coordinación de Compras F1,Dura 1 días,22/05/2024,22/05/24,27/10/24,158,Acciones para el Cambio
Entrega de capítulo eventos especiales Parte 1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 1 días,22/05/2024,22/05/24,27/10/24,158,Entrega de capítulo eventos especiales Parte 1
Monitoreo de Publicaciones de Redes Sociales,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 12 días,07/05/2024,22/05/24,27/10/24,158,
Aprobación Gorra Campaña,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/24,27/10/24,153,Aprobación Gorra Campaña
Aprobación Lanyard Grada,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/24,27/10/24,153,Aprobación Lanyard Grada
Aprobación Lanyard hospitalidades,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/24,27/10/24,153,Aprobación Lanyard hospitalidades
Aprobación Playera Campaña,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 13 días,09/05/2024,27/05/24,27/10/24,153,Aprobación Playera Campaña
Gorra,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/24,27/10/24,153,
Lanyard Grada,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/24,27/10/24,153,
Lanyard hospitalidades,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/24,27/10/24,153,
Planeación Media Kit,Gerencia de Relaciones Públicas F1,Dura 15 días,07/05/2024,27/05/24,27/10/24,153,Planeación Media Kit
Playera,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 14 días,08/05/2024,27/05/24,27/10/24,153,
"Sesiones con Universidades, (Contar con todos los convenios con Universidades firmados).","Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 10 días,14/05/2024,27/05/24,27/10/24,153,"Sesiones con Universidades, (Contar con todos los convenios con Universidades firmados)."
Muestras de Lanyard Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,28/05/2024,28/05/24,27/10/24,152,Muestras de Lanyard Textiles
Planeación (Media Kit),Coordinación Media Centre F1,Dura 60 días,07/03/2024,29/05/24,27/10/24,151,Planeación (Media Kit)
Correcciones Renders,Analista de Proyectos Entretenimiento F1,Dura 14 días,14/05/2024,31/05/24,27/10/24,149,Correcciones Renders
Normas de Seguridad,Gerencia de Seguridad Corporativa,Dura 10 días,20/05/2024,31/05/24,27/10/24,149,Normas de Seguridad
Autorización de logos,"Dirección de Operaciones F1,Gerente Producción F1",Dura 20 días,07/05/2024,3/06/24,27/10/24,146,Autorización de logos
Envío a FOM,Analista de Proyectos Entretenimiento F1,Dura 1 días,03/06/2024,3/06/24,27/10/24,146,Envío a FOM
Pre-registro oficial,"Coordinación Media Centre F1,Gerente Producción F1",Dura 5 días,28/05/2024,3/06/24,27/10/24,146,Pre-registro oficial
Scouting en autódromo Hermanos Rodriguez,"Dirección de Operaciones F1,Gerente Producción F1",Dura 10 días,21/05/2024,3/06/24,27/10/24,146,Scouting en autódromo Hermanos Rodriguez
Acreditación de montaje,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,04/06/2024,4/06/24,27/10/24,145,Acreditación de montaje
Convocatorio universidades,"Coordinación Media Centre F1,Gerente Producción F1,Creativo F1",Dura 1 días,04/06/2024,4/06/24,27/10/24,145,Convocatorio universidades
Levantamiento de requerimientos de uniformes,"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 10 días,22/05/2024,4/06/24,27/10/24,145,Levantamiento de requerimientos de uniformes
Experiencia al Cliente Premium,"Dirección General CIE Internacional y F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 22 días,07/05/2024,5/06/24,27/10/24,144,
Amenities (físicas),Gerencia Hospitalidades y Experiencias Premium F1,Dura 22 días,07/05/2024,5/06/24,27/10/24,144,
Aprobación de requerimientos de uniforme (äreas),"Dirección General CIE Internacional y F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 día?s días,05/06/2024,5/06/24,27/10/24,144,Aprobación de requerimientos de uniforme (äreas)
Entrega de altas de logos,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,04/06/2024,6/06/24,27/10/24,143,Entrega de altas de logos
Uniformes de PR Textiles,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 1 días,06/06/2024,6/06/24,27/10/24,143,Uniformes de PR Textiles
Datos de registro,Gerencia de Seguridad Corporativa,Dura 15 días,20/05/2024,7/06/24,27/10/24,142,Datos de registro
Formulario,Gerencia de Seguridad Corporativa,Dura 1 días,10/06/2024,10/06/24,27/10/24,139,Formulario
Orden de compra,Coordinación de Compras F1,Dura 20 días,14/05/2024,10/06/24,27/10/24,139,Orden de compra
Acreditación de Escoltas,Gerencia de Seguridad Corporativa,Dura 17 días,20/05/2024,11/06/24,27/10/24,138,
Convocatoria,"Coordinación Experiencia al Cliente,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1",Dura 5 días,05/06/2024,11/06/24,27/10/24,138,Convocatoria
Definición de pautado Marketing Digital,Gerencia de Redes Sociales F1,Dura 40 días,17/04/2024,11/06/24,27/10/24,138,Definición de pautado Marketing Digital
Entrega de altas a proveedor para pruebas de color,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,07/06/2024,11/06/24,27/10/24,138,Entrega de altas a proveedor para pruebas de color
Listado de personal acreditado,Gerencia de Seguridad Corporativa,Dura 1 días,11/06/2024,11/06/24,27/10/24,138,Listado de personal acreditado
Definición de espacios y tamaño de montaje,"Creativo F1,Gerente Producción F1,Gerente de Experiencia al Cliente Corporativos F1",Dura 150 días,16/11/2023,12/06/24,27/10/24,137,Definición de espacios y tamaño de montaje
Elaboración de contenidos,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 días,12/06/2024,12/06/24,27/10/24,137,
Recepción de gráficas,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 días,12/06/2024,12/06/24,27/10/24,137,Recepción de gráficas
Teaser 1 Convocatorio redes sociales,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,12/06/2024,12/06/24,27/10/24,137,Teaser 1 Convocatorio redes sociales
Adhesión a imagen del cliente,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia Sr. Comercial F1,Creativo F1,Gerente Producción F1,Subdirectora Promotoría Exp Al Cliente y Sustentabilidad F1",Dura 1 días,13/06/2024,13/06/24,27/10/24,136,Adhesión a imagen del cliente
Pre registro,"Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Coordinación Experiencia al Cliente",Dura 1 días,13/06/2024,13/06/24,27/10/24,136,Pre registro
Revisión y entrega de template para reporte de cobertura de medios,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 1 días,13/06/2024,13/06/24,27/10/24,136,Revisión y entrega de template para reporte de cobertura de medios
Autorización de pruebas de color,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,12/06/2024,14/06/24,27/10/24,135,Autorización de pruebas de color
Entrevistas presenciales,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,14/06/2024,14/06/24,27/10/24,135,Entrevistas presenciales
Filtrado pre-registro,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,14/06/2024,14/06/24,27/10/24,135,Filtrado pre-registro
Permisos,Gerencia de Seguridad Corporativa,Dura 20 días,20/05/2024,14/06/24,27/10/24,135,Permisos
Entrega de bases para revisión del primer semestre,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 30 días,07/05/2024,17/06/24,27/10/24,132,Entrega de bases para revisión del primer semestre
Scouting voluntarios hosp,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,17/06/2024,17/06/24,27/10/24,132,Scouting voluntarios hosp
Selección de proveedores,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Dura 20 días,21/05/2024,17/06/24,27/10/24,132,Selección de proveedores
Autorización de placas para clientes,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,Autorización de placas para clientes
Brief Hospitalidades Live Events y MKP,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,Brief Hospitalidades Live Events y MKP
"Brief para Agencias que realizarán un all In a Terrza A, Speed Lounge Amarillo y Speed Lounge 8A","Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,"Brief para Agencias que realizarán un all In a Terrza A, Speed Lounge Amarillo y Speed Lounge 8A"
Entrega de últimos detalles de mood board,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,Entrega de últimos detalles de mood board
Plus Muebles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,Plus Muebles
PSH Oficinas moviles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,PSH Oficinas moviles
"Sombra para MGS, CMB, PPB","Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,"Sombra para MGS, CMB, PPB"
Tower Estructuras,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,Tower Estructuras
William Scotman oficinas Oficinas moviles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,17/06/2024,19/06/24,27/10/24,130,William Scotman oficinas Oficinas moviles
Entrega de anexo nota metodológica,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 5 días,14/06/2024,20/06/24,27/10/24,129,Entrega de anexo nota metodológica
Consignas de Seguridad,Gerencia de Seguridad Corporativa,Dura 15 días,03/06/2024,21/06/24,27/10/24,128,Consignas de Seguridad
Correcciones FOM,Analista de Proyectos Entretenimiento F1,Dura 14 días,04/06/2024,21/06/24,27/10/24,128,Correcciones FOM
Requisición,Coordinación de Compras F1,Dura 264 días,21/06/2023,24/06/24,27/10/24,125,
Aplicación de Moodboard a materiales y mobiliario,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,20/06/2024,24/06/24,27/10/24,125,Aplicación de Moodboard a materiales y mobiliario
Autorización de personalización suite,"Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,20/06/2024,24/06/24,27/10/24,125,Autorización de personalización suite
Contrato,Coordinación de Compras F1,Dura 10 días,11/06/2024,24/06/24,27/10/24,125,Contrato
Criterios de evaluación,Coordinación de Compras F1,Dura 1 días,25/06/2024,25/06/24,27/10/24,124,Criterios de evaluación
Logística de entrega,Coordinación de Compras F1,Dura 1 días,25/06/2024,25/06/24,27/10/24,124,Logística de entrega
Respuesta revisión de bases,Dirección de Mercadotecnia F1,Dura 3 días,21/06/2024,25/06/24,27/10/24,124,Respuesta revisión de bases
Entrega de bases para revisión del primer semestre,Gerencia de Redes Sociales F1,Dura 1 días,26/06/2024,26/06/24,27/10/24,123,Entrega de bases para revisión del primer semestre
Fecha límite para aprobar manual de recarga citibanamex cashless,Analista de Proyectos Entretenimiento F1,Dura 85 días,29/02/2024,26/06/24,27/10/24,123,Fecha límite para aprobar manual de recarga citibanamex cashless
"Definición de espacio de bodegas y cocina debajo de las Gradas PP eses, TSB A y Sports Lounge Azul","Dirección de Operaciones F1,Gerente Producción F1",Dura 3 días,25/06/2024,27/06/24,27/10/24,122,"Definición de espacio de bodegas y cocina debajo de las Gradas PP eses, TSB A y Sports Lounge Azul"
Entrega de bases finales para impresión - digitalización,Gerencia de Redes Sociales F1,Dura 1 días,27/06/2024,27/06/24,27/10/24,122,Entrega de bases finales para impresión - digitalización
"Fecha límite para aprobar backs, faldones, copetes y pallets",Analista de Proyectos Entretenimiento F1,Dura 1 días,27/06/2024,27/06/24,27/10/24,122,"Fecha límite para aprobar backs, faldones, copetes y pallets"
Fecha límite para aprobar bonificación y mandar a producir pallets,Analista de Proyectos Entretenimiento F1,Dura 1 días,27/06/2024,27/06/24,27/10/24,122,Fecha límite para aprobar bonificación y mandar a producir pallets
Publicación de contenidos,"Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Dirección de Mercadotecnia F1,Gerencia de Mercadotecnia F1",Dura 11 días,13/06/2024,27/06/24,27/10/24,122,
"Sembrado de mobiliario (Aforo de acuerdo al brief de cada hospitalidad) Propuesta de iluminación, materiales y showroom físico","Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,28/06/2024,4/07/24,27/10/24,115,"Sembrado de mobiliario (Aforo de acuerdo al brief de cada hospitalidad) Propuesta de iluminación, materiales y showroom físico"
Contrato y alta Macrane Maquinaria,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,05/07/2024,5/07/24,27/10/24,114,Contrato y alta Macrane Maquinaria
Entrega de gráficos para intervención de hospitalidades,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,05/07/2024,5/07/24,27/10/24,114,Entrega de gráficos para intervención de hospitalidades
"Entrega de renders y layouts Agencias, Live Events y MKP","Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,05/07/2024,5/07/24,27/10/24,114,"Entrega de renders y layouts Agencias, Live Events y MKP"
Sanirent Oficinas moviles,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,05/07/2024,5/07/24,27/10/24,114,Sanirent Oficinas moviles
Autorización y solicitud de mobiliario a proveedores,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Autorización y solicitud de mobiliario a proveedores
Cotizacion piso BackStage Piso,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Cotizacion piso BackStage Piso
Definicion de Proveedor Ambientacion Diseño de Look & Feel,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Definicion de Proveedor Ambientacion Diseño de Look & Feel
Enviar pull telehanders ontrack Maquinaria,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Enviar pull telehanders ontrack Maquinaria
Nussli grada SLS Estructuras,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Nussli grada SLS Estructuras
Presentacion Aluminio PPT,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Presentacion Aluminio PPT
Proveedores de Renders,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,Proveedores de Renders
"Solicitud de carpas, octanorm y pisos a proveedores","Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,08/07/2024,8/07/24,27/10/24,111,"Solicitud de carpas, octanorm y pisos a proveedores"
Recorrido interno,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,09/07/2024,9/07/24,27/10/24,110,Recorrido interno
Aplicación Master Graphic. Propuesta para muros/divisiones y pisos. Entrega física,"Dirección de Operaciones F1,Gerente Producción F1",Dura 4 días,08/07/2024,11/07/24,27/10/24,108,Aplicación Master Graphic. Propuesta para muros/divisiones y pisos. Entrega física
Autorización y solicitud de recubrimientos a proveedores,"Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,08/07/2024,12/07/24,27/10/24,107,Autorización y solicitud de recubrimientos a proveedores
Contrato Agencias entretenimiento,Analista de Proyectos Entretenimiento F1,Dura 15 días,24/06/2024,12/07/24,27/10/24,107,Contrato Agencias entretenimiento
Coordinación FLY ACROSS,Gerencia de Seguridad Corporativa,Dura 20 días,17/06/2024,12/07/24,27/10/24,107,Coordinación FLY ACROSS
"Solicitud de infraestructura (gas, agua, suministro eléctrico)","Dirección de Operaciones F1,Gerente Producción F1",Dura 5 días,08/07/2024,12/07/24,27/10/24,107,"Solicitud de infraestructura (gas, agua, suministro eléctrico)"
Cotizacion de sobres para boletos RP impresos,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 123 días,29/01/2024,17/07/24,27/10/24,102,Cotizacion de sobres para boletos RP impresos
Directorio de proveedores,"Coordinación de Compras F1,Subdirección Planeación Estratégica",Dura 123 días,29/01/2024,17/07/24,27/10/24,102,
Autorización de presupuesto de hospitalidades,"Dirección de Operaciones F1,Gerente Producción F1",Dura 10 días,08/07/2024,19/07/24,27/10/24,100,Autorización de presupuesto de hospitalidades
Orden de compra entretenimiento,Analista de Proyectos Entretenimiento F1,Dura 5 días,15/07/2024,19/07/24,27/10/24,100,Orden de compra entretenimiento
Cierre de autorización de hospitalidades,"Dirección de Operaciones F1,Gerente Producción F1",Dura 1 días,22/07/2024,22/07/24,27/10/24,97,Cierre de autorización de hospitalidades
Fecha límite para aprobar artes de la pre carga,Analista de Proyectos Entretenimiento F1,Dura 20 días,27/06/2024,24/07/24,27/10/24,95,Fecha límite para aprobar artes de la pre carga
Fecha límite para aprobar manual de pre carga,Analista de Proyectos Entretenimiento F1,Dura 20 días,27/06/2024,24/07/24,27/10/24,95,Fecha límite para aprobar manual de pre carga
Entrevistas virtuales,Coordinación Experiencia al Cliente,Dura 30 días,17/06/2024,26/07/24,27/10/24,93,Entrevistas virtuales
Aprobación y rechazo de videos,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 1 días,29/07/2024,29/07/24,27/10/24,90,Aprobación y rechazo de videos
Validación por el cliente,Analista de Proyectos Entretenimiento F1,Dura 5 días,25/07/2024,31/07/24,27/10/24,88,Validación por el cliente
Vuelos comerciales,Gerencia de Seguridad Corporativa,Dura 20 días,15/07/2024,9/08/24,27/10/24,79,Vuelos comerciales
Convocatoria Abierta para medios de comunicación,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 70 días,07/05/2024,12/08/24,27/10/24,76,Convocatoria Abierta para medios de comunicación
Programación,Analista de Proyectos Entretenimiento F1,Dura 10 días,01/08/2024,14/08/24,27/10/24,74,Programación
Branding,Creativo F1,Dura 363 días,03/04/2023,21/08/24,27/10/24,67,
Solicitud para la generación de boletos,Coordinación de Boletaje F1,Dura 200 días,16/11/2023,21/08/24,27/10/24,67,Solicitud para la generación de boletos
Uso de Look&Feel en espacios y objetos,Gerente de Experiencia al Cliente Corporativos F1,Dura 200 días,16/11/2023,21/08/24,27/10/24,67,Uso de Look&Feel en espacios y objetos
Activaciones Marca,"Dirección Comercial F1,Gerencia Comercial F1,Gerencia de Administración e Información Comercial,Gerencia Sr. Comercial F1",Dura 149 días,29/01/2024,22/08/24,27/10/24,66,
Entrega de boletos SUITE,Analista de Proyectos Entretenimiento F1,Dura 1 días,22/08/2024,22/08/24,27/10/24,66,Entrega de boletos SUITE
Propuesta conceptual,Analista de Proyectos Entretenimiento F1,Dura 149 días,29/01/2024,22/08/24,27/10/24,66,
Operación de Helipuertos,Gerencia de Seguridad Corporativa,Dura 70 días,20/05/2024,23/08/24,27/10/24,65,
Activaciones,Gerencia de Relaciones Públicas F1,Dura 1 días,23/08/2024,23/08/24,27/10/24,65,Activaciones
Coordinación traslados Médicos,Gerencia de Seguridad Corporativa,Dura 10 días,12/08/2024,23/08/24,27/10/24,65,Coordinación traslados Médicos
Selección,"Coordinación Experiencia al Cliente,Coordinación Experiencia al Cliente Corporativo F1,Gerencia de Experiencia al Cliente Hospitalidades y Protocolos F1,Gerencia de Redes Sociales F1,Gerencia de Relaciones Públicas F1,Gerente de Experiencia al Cliente C...",Dura 20 días,30/07/2024,26/08/24,27/10/24,62,Selección
